SKU,Retail Price,Unit of Measure,Region,Meter,Product Name
Standard_NC24ads_A100_v4,1.509532,1 Hour,westus3,NC24ads_A100_v4 Spot,NCads A100 v4 Series Windows
Standard_NG32adms_V620,7.166,1 Hour,westus3,NG32admsV620,Virtual Machines NGadsV620v1 Series Windows
Standard_NV6ads_A10_v5,0.292,1 Hour,westus3,NV6ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series Windows
Standard_NV8as_v4,0.834,1 Hour,westus3,NV8as v4,Virtual Machines NVasv4 Series Windows
Standard_NC48ads_A100_v4,9.554,1 Hour,westus3,NC48ads_A100_v4,NCads A100 v4 Series Windows
Standard_NV36ads_A10_v5,1.28,1 Hour,westus3,NV36ads A10 v5 Spot,Virtual Machines NVadsA10v5 Series
Standard_NV72ads_A10_v5,9.832,1 Hour,westus3,NV72ads A10 v5,Virtual Machines NVadsA10v5 Series Windows
Standard_NC8ads_A10_v4,0.5872,1 Hour,westus3,NC8ads_A10_v4 Spot,Virtual Machines NCadsA10v4 Series Windows
Standard_NC64as_T4_v3,0.87,1 Hour,westus3,NC64asT4 v3 Low Priority,Virtual Machines NCasT4 v3 Series
Standard_NC64as_T4_v3,2.918,1 Hour,westus3,NC64asT4 v3 Low Priority,Virtual Machines NCasT4 v3 Series Windows
Standard_NC16ads_A10_v4,2.936,1 Hour,westus3,NC16ads_A10_v4,Virtual Machines NCadsA10v4 Series Windows
Standard_NC8ads_A10_v4,0.44,1 Hour,westus3,NC8ads_A10_v4 Spot,Virtual Machines NCadsA10v4 Series
Standard_NC32ads_A10_v4,2.3488,1 Hour,westus3,NC32ads_A10_v4 Spot,Virtual Machines NCadsA10v4 Series Windows
Standard_NC4as_T4_v3,0.71,1 Hour,westus3,NC4as T4 v3,Virtual Machines NCasT4 v3 Series Windows
Standard_NC16as_T4_v3,0.194,1 Hour,westus3,NC16asT4 v3 Spot,Virtual Machines NCasT4 v3 Series Windows
Standard_NC24s_v3,12.24,1 Hour,westus3,NC24s v3,Virtual Machines NCSv3 Series
Standard_NC8ads_A10_v4,0.22,1 Hour,westus3,NC8ads_A10_v4 Low Priority,Virtual Machines NCadsA10v4 Series
Standard_NC4as_T4_v3,0.284,1 Hour,westus3,NC4as T4 v3 Low Priority,Virtual Machines NCasT4 v3 Series Windows
Standard_NV32as_v4,0.1864,1 Hour,westus3,NV32as v4 Spot,Virtual Machines NVasv4 Series
Standard_NG8ads_V620_v1,1.095,1 Hour,westus3,NG8adsV620,Virtual Machines NGadsV620v1 Series
Standard_NV36adms_A10_v5,0.904,1 Hour,westus3,NV36adms A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series
